group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,512,,,57288200.0,ns,5
knn search,brute force,512,,,56919000.0,ns,5
knn search,brute force,512,,,56908500.0,ns,5
knn search,brute force,512,,,56535600.0,ns,5
knn search,brute force,512,,,56612100.0,ns,5
knn search,brute force,512,,,56424600.0,ns,5
knn search,brute force,512,,,57485900.0,ns,5
knn search,brute force,512,,,57107500.0,ns,5
knn search,brute force,512,,,56661900.0,ns,5
knn search,brute force,512,,,56555100.0,ns,5
knn search,brute force,512,,,56855500.0,ns,5
knn search,brute force,512,,,57073300.0,ns,5
knn search,brute force,512,,,56712900.0,ns,5
knn search,brute force,512,,,59918200.0,ns,5
knn search,brute force,512,,,57229400.0,ns,5
knn search,brute force,512,,,57446800.0,ns,5
knn search,brute force,512,,,56973100.0,ns,5
knn search,brute force,512,,,56793500.0,ns,5
knn search,brute force,512,,,57000900.0,ns,5
knn search,brute force,512,,,56703400.0,ns,5
knn search,brute force,512,,,56693100.0,ns,5
knn search,brute force,512,,,56606100.0,ns,5
knn search,brute force,512,,,56786300.0,ns,5
knn search,brute force,512,,,56664500.0,ns,5
knn search,brute force,512,,,58577500.0,ns,5
knn search,brute force,512,,,57253600.0,ns,5
knn search,brute force,512,,,56479500.0,ns,5
knn search,brute force,512,,,57136000.0,ns,5
knn search,brute force,512,,,56550500.0,ns,5
knn search,brute force,512,,,57809300.0,ns,5
knn search,brute force,512,,,57266100.0,ns,5
knn search,brute force,512,,,63514500.0,ns,5
knn search,brute force,512,,,57021600.0,ns,5
knn search,brute force,512,,,56729100.0,ns,5
knn search,brute force,512,,,56899300.0,ns,5
knn search,brute force,512,,,56839400.0,ns,5
knn search,brute force,512,,,58683800.0,ns,5
knn search,brute force,512,,,57642000.0,ns,5
knn search,brute force,512,,,57351000.0,ns,5
knn search,brute force,512,,,57682300.0,ns,5
knn search,brute force,512,,,57294800.0,ns,5
knn search,brute force,512,,,56919800.0,ns,5
knn search,brute force,512,,,56473900.0,ns,5
knn search,brute force,512,,,57079500.0,ns,5
knn search,brute force,512,,,57036500.0,ns,5
knn search,brute force,512,,,56745100.0,ns,5
knn search,brute force,512,,,56869600.0,ns,5
knn search,brute force,512,,,56946000.0,ns,5
knn search,brute force,512,,,63533600.0,ns,5
knn search,brute force,512,,,57637400.0,ns,5
knn search,brute force,512,,,56632200.0,ns,5
knn search,brute force,512,,,57661200.0,ns,5
knn search,brute force,512,,,56937300.0,ns,5
knn search,brute force,512,,,56484700.0,ns,5
knn search,brute force,512,,,56690700.0,ns,5
knn search,brute force,512,,,56531200.0,ns,5
knn search,brute force,512,,,56728800.0,ns,5
knn search,brute force,512,,,56650000.0,ns,5
knn search,brute force,512,,,56500300.0,ns,5
knn search,brute force,512,,,56914200.0,ns,5
knn search,brute force,512,,,57425300.0,ns,5
knn search,brute force,512,,,56978200.0,ns,5
knn search,brute force,512,,,56637000.0,ns,5
knn search,brute force,512,,,57352200.0,ns,5
knn search,brute force,512,,,59119000.0,ns,5
knn search,brute force,512,,,57101600.0,ns,5
knn search,brute force,512,,,58376600.0,ns,5
knn search,brute force,512,,,56472800.0,ns,5
knn search,brute force,512,,,59130100.0,ns,5
knn search,brute force,512,,,56596100.0,ns,5
knn search,brute force,512,,,56578800.0,ns,5
knn search,brute force,512,,,56476600.0,ns,5
knn search,brute force,512,,,56815800.0,ns,5
knn search,brute force,512,,,56299300.0,ns,5
knn search,brute force,512,,,56731900.0,ns,5
knn search,brute force,512,,,56671500.0,ns,5
knn search,brute force,512,,,57335900.0,ns,5
knn search,brute force,512,,,56593500.0,ns,5
knn search,brute force,512,,,58182900.0,ns,5
knn search,brute force,512,,,56701600.0,ns,5
knn search,brute force,512,,,57179300.0,ns,5
knn search,brute force,512,,,56671600.0,ns,5
knn search,brute force,512,,,57012300.0,ns,5
knn search,brute force,512,,,60373800.0,ns,5
knn search,brute force,512,,,56911500.0,ns,5
knn search,brute force,512,,,57258100.0,ns,5
knn search,brute force,512,,,60718600.0,ns,5
knn search,brute force,512,,,56490500.0,ns,5
knn search,brute force,512,,,57137500.0,ns,5
knn search,brute force,512,,,57392500.0,ns,5
knn search,brute force,512,,,57113600.0,ns,5
knn search,brute force,512,,,56937300.0,ns,5
knn search,brute force,512,,,57023800.0,ns,5
knn search,brute force,512,,,57057300.0,ns,5
knn search,brute force,512,,,58394800.0,ns,5
knn search,brute force,512,,,57408700.0,ns,5
knn search,brute force,512,,,56982100.0,ns,5
knn search,brute force,512,,,56458800.0,ns,5
knn search,brute force,512,,,57215200.0,ns,5
knn search,brute force,512,,,56970500.0,ns,5
