group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,brute force,8192,,,2948682700.0,ns,1
knn search,brute force,8192,,,2854831400.0,ns,1
knn search,brute force,8192,,,2862555200.0,ns,1
knn search,brute force,8192,,,2860735700.0,ns,1
knn search,brute force,8192,,,2845366200.0,ns,1
knn search,brute force,8192,,,2869515000.0,ns,1
knn search,brute force,8192,,,2860358900.0,ns,1
knn search,brute force,8192,,,2863640200.0,ns,1
knn search,brute force,8192,,,2860283000.0,ns,1
knn search,brute force,8192,,,2853725000.0,ns,1
knn search,brute force,8192,,,2853222600.0,ns,1
knn search,brute force,8192,,,2850749000.0,ns,1
knn search,brute force,8192,,,2862762000.0,ns,1
knn search,brute force,8192,,,2854062400.0,ns,1
knn search,brute force,8192,,,2863135000.0,ns,1
knn search,brute force,8192,,,2860509600.0,ns,1
knn search,brute force,8192,,,2865928400.0,ns,1
knn search,brute force,8192,,,2862390400.0,ns,1
knn search,brute force,8192,,,2891638800.0,ns,1
knn search,brute force,8192,,,2885150100.0,ns,1
knn search,brute force,8192,,,2844821000.0,ns,1
knn search,brute force,8192,,,2864201100.0,ns,1
knn search,brute force,8192,,,2845092600.0,ns,1
knn search,brute force,8192,,,2847111500.0,ns,1
knn search,brute force,8192,,,2848102300.0,ns,1
knn search,brute force,8192,,,2841958600.0,ns,1
knn search,brute force,8192,,,2861417500.0,ns,1
knn search,brute force,8192,,,2835793600.0,ns,1
knn search,brute force,8192,,,2857489200.0,ns,1
knn search,brute force,8192,,,2856566900.0,ns,1
knn search,brute force,8192,,,2858077900.0,ns,1
knn search,brute force,8192,,,2847427400.0,ns,1
knn search,brute force,8192,,,2854511400.0,ns,1
knn search,brute force,8192,,,2852032200.0,ns,1
knn search,brute force,8192,,,2869271300.0,ns,1
knn search,brute force,8192,,,2858560600.0,ns,1
knn search,brute force,8192,,,2843658300.0,ns,1
knn search,brute force,8192,,,2855779700.0,ns,1
knn search,brute force,8192,,,2852271400.0,ns,1
knn search,brute force,8192,,,2862697700.0,ns,1
knn search,brute force,8192,,,2845634500.0,ns,1
knn search,brute force,8192,,,2848168400.0,ns,1
knn search,brute force,8192,,,2897734600.0,ns,1
knn search,brute force,8192,,,2891134500.0,ns,1
knn search,brute force,8192,,,2860271900.0,ns,1
knn search,brute force,8192,,,2848743300.0,ns,1
knn search,brute force,8192,,,2877746200.0,ns,1
knn search,brute force,8192,,,2857437200.0,ns,1
knn search,brute force,8192,,,2853934100.0,ns,1
knn search,brute force,8192,,,2847475700.0,ns,1
knn search,brute force,8192,,,2843742100.0,ns,1
knn search,brute force,8192,,,2850631900.0,ns,1
knn search,brute force,8192,,,2845687000.0,ns,1
knn search,brute force,8192,,,2851576700.0,ns,1
knn search,brute force,8192,,,2852160500.0,ns,1
knn search,brute force,8192,,,2848673000.0,ns,1
knn search,brute force,8192,,,2854264100.0,ns,1
knn search,brute force,8192,,,2850327100.0,ns,1
knn search,brute force,8192,,,2854417200.0,ns,1
knn search,brute force,8192,,,2856262000.0,ns,1
knn search,brute force,8192,,,2868920100.0,ns,1
knn search,brute force,8192,,,2844620500.0,ns,1
knn search,brute force,8192,,,2849609600.0,ns,1
knn search,brute force,8192,,,2842733000.0,ns,1
knn search,brute force,8192,,,2848955800.0,ns,1
knn search,brute force,8192,,,2856892200.0,ns,1
knn search,brute force,8192,,,2840407900.0,ns,1
knn search,brute force,8192,,,2853448500.0,ns,1
knn search,brute force,8192,,,2849077000.0,ns,1
knn search,brute force,8192,,,2844197400.0,ns,1
knn search,brute force,8192,,,2844446300.0,ns,1
knn search,brute force,8192,,,2855295800.0,ns,1
knn search,brute force,8192,,,2852490700.0,ns,1
knn search,brute force,8192,,,2861415500.0,ns,1
knn search,brute force,8192,,,2852224100.0,ns,1
knn search,brute force,8192,,,2852649800.0,ns,1
knn search,brute force,8192,,,2852734700.0,ns,1
knn search,brute force,8192,,,2860282400.0,ns,1
knn search,brute force,8192,,,2837898300.0,ns,1
knn search,brute force,8192,,,2841004300.0,ns,1
knn search,brute force,8192,,,2858775300.0,ns,1
knn search,brute force,8192,,,2855202600.0,ns,1
knn search,brute force,8192,,,2838184500.0,ns,1
knn search,brute force,8192,,,2851347500.0,ns,1
knn search,brute force,8192,,,2849837700.0,ns,1
knn search,brute force,8192,,,2861260300.0,ns,1
knn search,brute force,8192,,,2849922400.0,ns,1
knn search,brute force,8192,,,2856781600.0,ns,1
knn search,brute force,8192,,,2860464200.0,ns,1
knn search,brute force,8192,,,2849109000.0,ns,1
knn search,brute force,8192,,,2862887400.0,ns,1
knn search,brute force,8192,,,2838260800.0,ns,1
knn search,brute force,8192,,,2855633000.0,ns,1
knn search,brute force,8192,,,2848475900.0,ns,1
knn search,brute force,8192,,,2904578100.0,ns,1
knn search,brute force,8192,,,2899049700.0,ns,1
knn search,brute force,8192,,,2842414000.0,ns,1
knn search,brute force,8192,,,2847226300.0,ns,1
knn search,brute force,8192,,,2845004100.0,ns,1
knn search,brute force,8192,,,2857454800.0,ns,1
