group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,128,,,1526300.0,ns,4
knn search,vptree,128,,,2421700.0,ns,8
knn search,vptree,128,,,3685100.0,ns,12
knn search,vptree,128,,,4756400.0,ns,16
knn search,vptree,128,,,6237000.0,ns,20
knn search,vptree,128,,,7360500.0,ns,24
knn search,vptree,128,,,8587200.0,ns,28
knn search,vptree,128,,,9542000.0,ns,32
knn search,vptree,128,,,11614500.0,ns,36
knn search,vptree,128,,,14242300.0,ns,40
knn search,vptree,128,,,14004900.0,ns,44
knn search,vptree,128,,,14423500.0,ns,48
knn search,vptree,128,,,15581700.0,ns,52
knn search,vptree,128,,,16621500.0,ns,56
knn search,vptree,128,,,17821800.0,ns,60
knn search,vptree,128,,,18920100.0,ns,64
knn search,vptree,128,,,20205500.0,ns,68
knn search,vptree,128,,,21330300.0,ns,72
knn search,vptree,128,,,22398500.0,ns,76
knn search,vptree,128,,,24462100.0,ns,80
knn search,vptree,128,,,25721800.0,ns,84
knn search,vptree,128,,,26831900.0,ns,88
knn search,vptree,128,,,27463600.0,ns,92
knn search,vptree,128,,,29346500.0,ns,96
knn search,vptree,128,,,29920200.0,ns,100
knn search,vptree,128,,,31690500.0,ns,104
knn search,vptree,128,,,32921600.0,ns,108
knn search,vptree,128,,,34013200.0,ns,112
knn search,vptree,128,,,35589700.0,ns,116
knn search,vptree,128,,,36092500.0,ns,120
knn search,vptree,128,,,37653800.0,ns,124
knn search,vptree,128,,,39927800.0,ns,128
knn search,vptree,128,,,42361000.0,ns,132
knn search,vptree,128,,,42429300.0,ns,136
knn search,vptree,128,,,43387700.0,ns,140
knn search,vptree,128,,,43144000.0,ns,144
knn search,vptree,128,,,44321600.0,ns,148
knn search,vptree,128,,,47607200.0,ns,152
knn search,vptree,128,,,46588000.0,ns,156
knn search,vptree,128,,,47820700.0,ns,160
knn search,vptree,128,,,49056100.0,ns,164
knn search,vptree,128,,,52543900.0,ns,168
knn search,vptree,128,,,51289200.0,ns,172
knn search,vptree,128,,,52677600.0,ns,176
knn search,vptree,128,,,54304200.0,ns,180
knn search,vptree,128,,,55774200.0,ns,184
knn search,vptree,128,,,55994400.0,ns,188
knn search,vptree,128,,,56899600.0,ns,192
knn search,vptree,128,,,58609200.0,ns,196
knn search,vptree,128,,,59802400.0,ns,200
knn search,vptree,128,,,60927100.0,ns,204
knn search,vptree,128,,,66608100.0,ns,208
knn search,vptree,128,,,63699400.0,ns,212
knn search,vptree,128,,,65494200.0,ns,216
knn search,vptree,128,,,67807900.0,ns,220
knn search,vptree,128,,,67103200.0,ns,224
knn search,vptree,128,,,68770700.0,ns,228
knn search,vptree,128,,,69474400.0,ns,232
knn search,vptree,128,,,71141000.0,ns,236
knn search,vptree,128,,,72010200.0,ns,240
knn search,vptree,128,,,73041400.0,ns,244
knn search,vptree,128,,,75403200.0,ns,248
knn search,vptree,128,,,75598400.0,ns,252
knn search,vptree,128,,,76441900.0,ns,256
knn search,vptree,128,,,77933400.0,ns,260
knn search,vptree,128,,,81209200.0,ns,264
knn search,vptree,128,,,82084400.0,ns,268
knn search,vptree,128,,,81777500.0,ns,272
knn search,vptree,128,,,83079600.0,ns,276
knn search,vptree,128,,,83318700.0,ns,280
knn search,vptree,128,,,87813200.0,ns,284
knn search,vptree,128,,,86381100.0,ns,288
knn search,vptree,128,,,87549200.0,ns,292
knn search,vptree,128,,,88966100.0,ns,296
knn search,vptree,128,,,90241400.0,ns,300
knn search,vptree,128,,,90263900.0,ns,304
knn search,vptree,128,,,91339000.0,ns,308
knn search,vptree,128,,,93721500.0,ns,312
knn search,vptree,128,,,94972500.0,ns,316
knn search,vptree,128,,,98269500.0,ns,320
knn search,vptree,128,,,96964800.0,ns,324
knn search,vptree,128,,,98741300.0,ns,328
knn search,vptree,128,,,108348500.0,ns,332
knn search,vptree,128,,,100139000.0,ns,336
knn search,vptree,128,,,101280700.0,ns,340
knn search,vptree,128,,,103528300.0,ns,344
knn search,vptree,128,,,103516400.0,ns,348
knn search,vptree,128,,,106216000.0,ns,352
knn search,vptree,128,,,106345100.0,ns,356
knn search,vptree,128,,,108774600.0,ns,360
knn search,vptree,128,,,110767000.0,ns,364
knn search,vptree,128,,,110579700.0,ns,368
knn search,vptree,128,,,111481300.0,ns,372
knn search,vptree,128,,,111672600.0,ns,376
knn search,vptree,128,,,113687900.0,ns,380
knn search,vptree,128,,,114432800.0,ns,384
knn search,vptree,128,,,119360700.0,ns,388
knn search,vptree,128,,,119220300.0,ns,392
knn search,vptree,128,,,120079600.0,ns,396
knn search,vptree,128,,,125603900.0,ns,400
