group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,64,,,1074300.0,ns,8
knn search,vptree,64,,,1958200.0,ns,16
knn search,vptree,64,,,2929800.0,ns,24
knn search,vptree,64,,,4068000.0,ns,32
knn search,vptree,64,,,4876500.0,ns,40
knn search,vptree,64,,,5959000.0,ns,48
knn search,vptree,64,,,7040600.0,ns,56
knn search,vptree,64,,,7859100.0,ns,64
knn search,vptree,64,,,9029800.0,ns,72
knn search,vptree,64,,,10037800.0,ns,80
knn search,vptree,64,,,10794000.0,ns,88
knn search,vptree,64,,,12072500.0,ns,96
knn search,vptree,64,,,12871100.0,ns,104
knn search,vptree,64,,,13936400.0,ns,112
knn search,vptree,64,,,14986000.0,ns,120
knn search,vptree,64,,,16090100.0,ns,128
knn search,vptree,64,,,17110000.0,ns,136
knn search,vptree,64,,,18352600.0,ns,144
knn search,vptree,64,,,20280100.0,ns,152
knn search,vptree,64,,,20049300.0,ns,160
knn search,vptree,64,,,20854500.0,ns,168
knn search,vptree,64,,,21712500.0,ns,176
knn search,vptree,64,,,23191900.0,ns,184
knn search,vptree,64,,,23868500.0,ns,192
knn search,vptree,64,,,24959000.0,ns,200
knn search,vptree,64,,,25957000.0,ns,208
knn search,vptree,64,,,26902100.0,ns,216
knn search,vptree,64,,,28352100.0,ns,224
knn search,vptree,64,,,31207400.0,ns,232
knn search,vptree,64,,,30488300.0,ns,240
knn search,vptree,64,,,30865900.0,ns,248
knn search,vptree,64,,,32745500.0,ns,256
knn search,vptree,64,,,33283200.0,ns,264
knn search,vptree,64,,,34304600.0,ns,272
knn search,vptree,64,,,35535800.0,ns,280
knn search,vptree,64,,,35739700.0,ns,288
knn search,vptree,64,,,36814200.0,ns,296
knn search,vptree,64,,,38520200.0,ns,304
knn search,vptree,64,,,39029200.0,ns,312
knn search,vptree,64,,,40147900.0,ns,320
knn search,vptree,64,,,41185500.0,ns,328
knn search,vptree,64,,,41890000.0,ns,336
knn search,vptree,64,,,43034900.0,ns,344
knn search,vptree,64,,,43798700.0,ns,352
knn search,vptree,64,,,45014200.0,ns,360
knn search,vptree,64,,,45835400.0,ns,368
knn search,vptree,64,,,47105700.0,ns,376
knn search,vptree,64,,,47845400.0,ns,384
knn search,vptree,64,,,48500300.0,ns,392
knn search,vptree,64,,,49887600.0,ns,400
knn search,vptree,64,,,51044900.0,ns,408
knn search,vptree,64,,,51405500.0,ns,416
knn search,vptree,64,,,53269500.0,ns,424
knn search,vptree,64,,,54475100.0,ns,432
knn search,vptree,64,,,54208400.0,ns,440
knn search,vptree,64,,,56639000.0,ns,448
knn search,vptree,64,,,57206700.0,ns,456
knn search,vptree,64,,,57702200.0,ns,464
knn search,vptree,64,,,59318400.0,ns,472
knn search,vptree,64,,,60500400.0,ns,480
knn search,vptree,64,,,61381500.0,ns,488
knn search,vptree,64,,,61825000.0,ns,496
knn search,vptree,64,,,63216700.0,ns,504
knn search,vptree,64,,,63899300.0,ns,512
knn search,vptree,64,,,65158500.0,ns,520
knn search,vptree,64,,,65376400.0,ns,528
knn search,vptree,64,,,66834500.0,ns,536
knn search,vptree,64,,,67884500.0,ns,544
knn search,vptree,64,,,71146500.0,ns,552
knn search,vptree,64,,,69972600.0,ns,560
knn search,vptree,64,,,71493800.0,ns,568
knn search,vptree,64,,,72946000.0,ns,576
knn search,vptree,64,,,73223900.0,ns,584
knn search,vptree,64,,,74919900.0,ns,592
knn search,vptree,64,,,75560400.0,ns,600
knn search,vptree,64,,,76001100.0,ns,608
knn search,vptree,64,,,76962100.0,ns,616
knn search,vptree,64,,,77899600.0,ns,624
knn search,vptree,64,,,82508400.0,ns,632
knn search,vptree,64,,,79801000.0,ns,640
knn search,vptree,64,,,80593800.0,ns,648
knn search,vptree,64,,,81373000.0,ns,656
knn search,vptree,64,,,83982500.0,ns,664
knn search,vptree,64,,,83815800.0,ns,672
knn search,vptree,64,,,86009900.0,ns,680
knn search,vptree,64,,,87881900.0,ns,688
knn search,vptree,64,,,87523300.0,ns,696
knn search,vptree,64,,,88755500.0,ns,704
knn search,vptree,64,,,89049300.0,ns,712
knn search,vptree,64,,,89892200.0,ns,720
knn search,vptree,64,,,91971200.0,ns,728
knn search,vptree,64,,,92617700.0,ns,736
knn search,vptree,64,,,94163900.0,ns,744
knn search,vptree,64,,,97050000.0,ns,752
knn search,vptree,64,,,98134800.0,ns,760
knn search,vptree,64,,,96869500.0,ns,768
knn search,vptree,64,,,99546700.0,ns,776
knn search,vptree,64,,,99477500.0,ns,784
knn search,vptree,64,,,100077300.0,ns,792
knn search,vptree,64,,,100398900.0,ns,800
